Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
aud_screen_tools_oth,iedea_2020_site_survey_english,,text,"13.3a If Other, please specify",,,,,,,[aud_screen_tools(88)] = '1',y,,,,,
aud_biomarkers,iedea_2020_site_survey_english,,checkbox,"13.4 Which of the following biomarkers can be assessed at this health facility in screening for <u>alcohol use disorders?</u>

<i>Check all that apply</i>
","77, None - biomarkers not used in screening for alcohol use disorders | 1, Aspartate transaminase (AST) | 2, Aspartate transaminase, Alanine transaminase ratio (AST/ALT) | 3, Blood alcohol concentration (BAC) | 4, Ethyl glucuronide (EtG) | 88, Other",,,,,,[au_disorder_screen]='1',y,,,,, @NONEOFTHEABOVE='77'
aud_biomarkers_oth,iedea_2020_site_survey_english,,text,"13.4.a If Other, please specify",,,,,,,[aud_biomarkers(88)] = '1',y,,,,,
aud_pos_tx,iedea_2020_site_survey_english,,checkbox,"13.5 For patients who screen positive for <u>alcohol use disorders</u>, what treatment interventions are available at this health facility?

<i>Check all that apply.</i>
","77, None <i>(no treatment available at this health facility)</i> | 1, Counseling | 2, Brief Intervention | 3, Detox hospitalization | 4, Pharmacological treatment (Disulfiram, Naltrexone, Acamprosate) | 5, Psychotherapy (motivational interview, cognitive-behavioral therapy (CBT), relapse prevention) | 6, Screening, Brief Intervention, and Referral to Treatment (SBIRT) | 88, Other",,,,,,[au_disorder_screen]='1',y,,,,, @NONEOFTHEABOVE='77'
aud_pos_tx_oth,iedea_2020_site_survey_english,,text,"13.5.a If Other, please specify",,,,,,,[aud_pos_tx(88)] = '1',y,,,,,
other_aud_screen,iedea_2020_site_survey_english,,checkbox,"13.6 Which of the following <u>other substance use disorders</u> are patients screened for in the HIV clinic?

Screening refers to any type of structured or unstructured assessment.

<i>Check all that apply.</i>
","77, None | 1, Cannabis (marijuana) | 2, Cocaine/crack | 3, Ecstasy and other club drugs | 4, Hallucinogens | 5, Methamphetamine | 6, Opioids | 88, Other",,,,,,[au_disorder_screen]='1' OR [au_disorder_screen]='0',y,,,,, @NONEOFTHEABOVE='77'
other_aud_screen_oth,iedea_2020_site_survey_english,,text,"13.6.a If Other, please specify",,,,,,,[other_aud_screen(88)]='1',y,,,,,
other_aud_patients,iedea_2020_site_survey_english,,checkbox,"13.7 Which patients are screened for <u>other substance use disorders?</u>

<i>Check all that apply</i>
","1, All patients | 2, Patients with symptoms of possible drug use disorders | 3, Patients with therapeutic failure | 4, Patients who are not adherent to ART | 88, Other types of patients",,,,,,[other_aud_screen(77)]<> '1',y,,,,, @NONEOFTHEABOVE='1'
other_aud_patients_oth,iedea_2020_site_survey_english,,text,"13.7.a If Other, please specify",,,,,,,[other_aud_patients(88)] = '1',y,,,,,
sud_tools,iedea_2020_site_survey_english,,checkbox,"13.8 Which structured instrument(s) are used to screen patients for <u>substance use disorders (other than alcohol use)?</u>

<i>Check all that apply.</i>
","77, None <i>(no structured or standardized screening tool used)</i> | 1, Addiction Severity Index (ASI) | 2, Alcohol, Smoking, and Substance Involvement Screening Test (ASSIST) | 3, Drug Abuse Screening Test (DAST) | 88, Other (specify",,,,,,[other_aud_screen(77)]<> '1',y,,,,, @NONEOFTHEABOVE='77'
sud_tools_oth,iedea_2020_site_survey_english,,text,"13.8a If Other, please specify",,,,,,,[sud_tools(88)] = '1',y,,,,,
sud_pos_tx,iedea_2020_site_survey_english,,checkbox,"13.9 For patients who screen positive for <u>substance use disorders</u> (other than alcohol use) what treatment interventions are available at this health facility?

Check all that apply
","77, None <i>(no treatment available at this health facility)</i> | 1, Counseling | 2, Brief Intervention | 3, Detox hospitalization | 4, Methadone replacement therapy | 5, Pharmacological treatment | 6, Psychotherapy <i>(motivational interview, cognitive-based therapy (CBT), relapse prevention)</i> | 7, Screening, Brief Intervention, and Referral to Treatment (SBIRT) | 8, Syringe exchange | 88, Other",,,,,,[other_aud_screen(77)]<> '1',y,,,,, @NONEOFTHEABOVE='77'
sud_pos_tx_oth,iedea_2020_site_survey_english,,text,"13.9a If Other, please specify",,,,,,,[sud_pos_tx(88)] = '1',y,,,,,
depression_screen,iedea_2020_site_survey_english,"<div style=""border: 1px solid #19B5FE;background: #4682B4; font-size:18px; color: #000000; text-align:center;padding:10px;"">14. PATIENT SCREENING AND TREATMENT FOR MENTAL HEALTH DISORDERS
<i>Describe practices prior to COVID-19</i> </div>",yesno,"14.1 Are any HIV patients screened for <u>depression</u>? 

<i>Screening refers to any type of structured or unstructured assessment.</i>",,,,,,,,y,RH,,,,
depression_screen_pt,iedea_2020_site_survey_english,,checkbox,"14.2 Which patients are screened for depression?

<i>Check all that apply.</i>
","1, All patients, including those not presenting with mental health symptoms | 2, Patients presenting with mental health symptoms | 3, Patients with therapeutic failure | 4, Patients who are not adherent to ART | 88, Other",,,,,,[depression_screen]='1',y,,,,, @NONEOFTHEABOVE='1'
depression_screen_pt_oth,iedea_2020_site_survey_english,,text,"14.2a If other, please specify",,,,,,,[depression_screen_pt(88)] = '1',y,,,,,
depression_screen_tools,iedea_2020_site_survey_english,,checkbox,"14.3 Which structured instrument(s) are used to screen patients for <u>depression?</u> 

<i>Check all that apply.</i>
","77, None <i>(no structured or standardized depression screening tool used)</i> | 1, Beck Depression Inventory (BDI) | 2, Center for Epidemiologic Studies Depression Scale (CES-D) | 3, Hamilton Rating Scale for Depression (HAM-D) | 4, Hospital Anxiety and Depression Scale (HAD) | 5, Patient Health Questionnaire-2 (PHQ-2) | 6, Patient Health Questionnaire-9 (PHQ-9) | 88, Other",,,,,,[depression_screen]='1',y,,,,, @NONEOFTHEABOVE=77
depres_screen_tools_oth,iedea_2020_site_survey_english,,text,"14.3a If other, please specify",,,,,,,[depression_screen_tools(88)] = '1',y,,,,,
depression_tx,iedea_2020_site_survey_english,,checkbox,"14.4 For patients who screen positive for depression, what treatment interventions are available at this health facility?

<i>Check all that apply.</i>
","77, None <i>(no treatment available at this health facility)</i> | 1, Individual counseling or psychotherapy | 2, Group counseling or psychotherapy | 3, Medication | 4, Peer support | 5, Psychosocial support | 88, Other",,,,,,[depression_screen]='1',y,,,,, @NONEOFTHEABOVE=77
depres_tx_oth,iedea_2020_site_survey_english,,text,"14.4a If other, please specify",,,,,,,[depression_tx(88)] = '1',y,,,,,
ptsd_screen,iedea_2020_site_survey_english,,yesno,14.5 Are any HIV patients <u>screened for post-traumatic stress disorder (PTSD)</u>? ,,,,,,,[depression_screen]='1' OR [depression_screen]='0',y,RH,,,,
ptsd_screen_pt,iedea_2020_site_survey_english,,checkbox,"14.6 Which patients are screened for <u>PTSD</u>?

<i>Check all that apply.</i>
","1, All patients, including those not presenting with mental health symptoms | 2, Patients presenting with mental health symptoms | 3, Patients with therapeutic failure | 4, Patients who are not adherent to ART | 88, Other",,,,,,[ptsd_screen]='1',y,,,,, @NONEOFTHEABOVE='1'
ptsd_screen_pt_oth,iedea_2020_site_survey_english,,text,"14.6a If other, please specify",,,,,,,[ptsd_screen_pt(88)] = '1',y,,,,,
ptsd_screen_tools,iedea_2020_site_survey_english,,checkbox,"14.7 Which structured instrument(s) are used to screen patients for <u>PTSD</u>? 

<i>Check all that apply.</i>
","77, None <i>(no structured or standardized depression screening tool used)</i> | 1, Life Event Checklist | 2, Primary Care PTSD Screen (PC-PTSD) | 3, PTSD Checklist - Civilian version (PCL-C) | 4, PTSD Checklist for DSM-5 (PCL-5) | 5, Short PTSD Rating Interview (SPRINT) | 6, Trauma Screening Questionnaire  (TSQ) | 88, Other",,,,,,[ptsd_screen]='1',y,,,,, @NONEOFTHEABOVE=77
ptsd_screen_tools_oth,iedea_2020_site_survey_english,,text,"14.7a If other, please specify",,,,,,,[ptsd_screen_tools(88)] = '1',y,,,,,
ptsd_tx,iedea_2020_site_survey_english,,checkbox,"14.8 For patients who screen positive for PTSD, what treatment interventions are available at this health facility?

<i>Check all that apply.</i>
","77, None <i>(no treatment available at this health facility)</i> | 1, Individual counseling or psychotherapy | 2, Group counseling or psychotherapy | 3, Medication | 4, Peer support | 5, Psychosocial support | 88, Other",,,,,,[ptsd_screen]='1',y,,,,, @NONEOFTHEABOVE=77
ptsd_tx_oth,iedea_2020_site_survey_english,,text,"14.8a If other, please specify",,,,,,,[ptsd_tx(88)] = '1',y,,,,,
anxiety_screen,iedea_2020_site_survey_english,,yesno,14.9 Are any HIV patients screened for <u>anxiety disorders</u>? ,,,,,,,[ptsd_screen]='1' OR [ptsd_screen]='0',y,RH,,,,
anxiety_screen_pt,iedea_2020_site_survey_english,,checkbox,"14.10 Which patients are screened for <u>anxiety disorders</u>?

<i>Check all that apply.</i>
","1, All patients, including those not presenting with mental health symptoms | 2, Patients presenting with mental health symptoms | 3, Patients with therapeutic failure | 4, Patients who are not adherent to ART | 88, Other",,,,,,[anxiety_screen]='1',y,,,,, @NONEOFTHEABOVE='1'
anxiety_screen_pt_oth,iedea_2020_site_survey_english,,text,"14.10a If other, please specify",,,,,,,[anxiety_screen_pt(88)] = '1',y,,,,,
anxiety_screen_tools,iedea_2020_site_survey_english,,checkbox,"14.11 Which structured instrument(s) are used to screen patients for <u>anxiety disorders</u>? 

<i>Check all that apply.</i>
","77, None <i>(no structured or standardized depression screening tool used)</i> | 1, Beck Anxiety Inventory (BAI) | 2, Generalized Anxiety Disorder 7-item scale (GAD-7) | 3, Hospital Anxiety and Depression Scale (HAD) | 4, State-Trait Anxiety Inventory (STAI) | 88, Other",,,,,,[anxiety_screen]='1',y,,,,, @NONEOFTHEABOVE=77
anxiety_screen_tools_oth,iedea_2020_site_survey_english,,text,"14.11a If other, please specify",,,,,,,[anxiety_screen_tools(88)] = '1',y,,,,,
anxiety_tx,iedea_2020_site_survey_english,,checkbox,"14.12 For patients who screen positive for <u>anxiety disorders</u>, what treatment interventions are available at this health facility?

<i>Check all that apply.</i>
","77, None <i>(no treatment available at this health facility)</i> | 1, Individual counseling or psychotherapy | 2, Group counseling or psychotherapy | 3, Medication | 4, Peer support | 5, Psychosocial support | 88, Other",,,,,,[anxiety_screen]='1',y,,,,, @NONEOFTHEABOVE=77
anxiety_tx_oth,iedea_2020_site_survey_english,,text,"14.12a If other, please specify",,,,,,,[anxiety_tx(88)] = '1',y,,,,,
screen_other,iedea_2020_site_survey_english,,checkbox,"14.13 Are HIV patients screened for any of the following mental health conditions?

<i>Check all that apply.</i>
","1, Other mental health disorders <i>(bipolar, schizophrenia, etc.)</i> | 2, Cognitive impairment | 3, Suicide risk | 77, None of the above",,,,,,[anxiety_screen]='1' OR [anxiety_screen]='0',y,,,,, @NONEOFTHEABOVE='77'
protocol_suicide,iedea_2020_site_survey_english,,yesno,14.14 Is there a standard safety protocol for responding to patients with suicidal or homicidal intentions? ,,,,,,,,y,RH,,,,
ks_dx,iedea_2020_site_survey_english,"<div style=""border: 1px solid #19B5FE;background: #4682B4; font-size:18px; color: #000000; text-align:center;padding:10px;"">15. DIAGNOSIS OF KAPOSI'S SARCOMA
<i>Describe practices prior to COVID-19</i></div>",yesno,"15.1 During 2019, were any patients diagnosed with Kaposi's sarcoma at this site (either the HIV clinic or another unit of the health facility)?",,,,,,,,y,RH,,,,
desc_15_2,iedea_2020_site_survey_english,,descriptive,"15.2 During 2019, which of the following procedures were used to diagnose Kaposi's sarcoma and where was the procedure performed for HIV patients?

<i>Check all that apply</i>",,,,,,,[ks_dx]='1',,,,,,
ks_clin_exam,iedea_2020_site_survey_english,,checkbox,15.2a Clinical exam (visual inspection of skin or mucosal surfaces),"1, In HIV Clinic | 2, Outpatient or inpatient ward | 3, Operating theatre | 77, Not available",,,,,,[ks_dx]=1,y,,,ks_dx,, @NONEOFTHEABOVE=77
ks_biopsy,iedea_2020_site_survey_english,,checkbox,15.2b Skin punch biopsy,"1, In HIV Clinic | 2, Outpatient or inpatient ward | 3, Operating theatre | 77, Not available",,,,,,[ks_dx]=1,y,,,ks_dx,, @NONEOFTHEABOVE=77
ks_excision,iedea_2020_site_survey_english,,checkbox,15.2c Surgical wedge/excision,"1, In HIV Clinic | 2, Outpatient or inpatient ward | 3, Operating theatre | 77, Not available",,,,,,[ks_dx]=1,y,,,ks_dx,, @NONEOFTHEABOVE=77
ks_other,iedea_2020_site_survey_english,,checkbox,15.2d Other <br><i>(please specify or select Not Available)<i>,"1, In HIV Clinic | 2, Outpatient or inpatient ward | 3, Operating theatre | 77, Not available",,,,,,[ks_dx]=1,y,,,ks_dx,, @NONEOFTHEABOVE=77
ks_dx_oth,iedea_2020_site_survey_english,,text,"15.2d1. If other, please specify",,,,,,,[ks_other(1)] = '1' or [ks_other(2)] = '1' or [ks_other(3)] = '1',y,,,,,
desc_15_3,iedea_2020_site_survey_english, ,descriptive,"15.3 In 2019, did HIV patients  <u>typically pay any fee (other than insurance co-pays)</u> for the following procedures for diagnosing Kaposi's sarcoma? 

<i>Please indicate if patients paid fees other than insurance co-pays. Select NA for services not available for routine care.</i>",,,,,,,[ks_dx]='1',,,,,,
fee_clin_exam,iedea_2020_site_survey_english,,radio,15.3a Clinical exam (visual inspection of skin or mucosal surfaces),"1, Yes | 2, No | 3, Don't Know | 77, NA (Not applicable)",,,,,,[ks_dx]=1,y,,,ks_fee,,
fee_biopsy,iedea_2020_site_survey_english,,radio,15.3b Skin punch biopsy,"1, Yes | 2, No | 3, Don't Know | 77, NA (Not applicable)",,,,,,[ks_dx]=1,y,,,ks_fee,,
fee_excision,iedea_2020_site_survey_english,,radio,15.3c Surgical wedge/excision,"1, Yes | 2, No | 3, Don't Know | 77, NA (Not applicable)",,,,,,[ks_dx]=1,y,,,ks_fee,,
fee_other,iedea_2020_site_survey_english,,radio,15.3d Other <br><i>(please specify or select Not Applicable)</i>,"1, Yes | 2, No | 3, Don't Know | 77, NA (Not applicable)",,,,,,[ks_dx]=1,y,,,ks_fee,,
fee_other_spec,iedea_2020_site_survey_english,,text,"15.3d1. If Other, please specify",,,,,,,[fee_other]='1',y,,,,,
ks_contact,iedea_2020_site_survey_english,,yesno,15.4. Is there someone at this site who can be contacted for additional information about diagnosis and treatment of Kaposi's sarcoma at this health facility?,,,,,,,[ks_dx]=1,,RH,,,,
ks_contact_info,iedea_2020_site_survey_english,,descriptive,"If yes, please provide full name and email address",,,,,,,[ks_contact]=1,,,,,,
ks_contact_name,iedea_2020_site_survey_english,,text,15.4a Full Name,,,,,,,[ks_contact]=1,,,,,,
ks_contact_email,iedea_2020_site_survey_english,,text,15.4b Email address,,,,,,,[ks_contact]=1,,,,,,
pharmacy,iedea_2020_site_survey_english,"<div style=""border: 1px solid #19B5FE;background: #4682B4; font-size:18px; color: #000000; text-align:center;padding:10px;"">16. PHARMACY
<i>Describe practices prior to COVID-19</i></div>",yesno,16.1 Is there a pharmacy located at this health facility?,,,,,,,[ks_dx]='1' OR [ks_dx]='0' OR [ks_dx]='',y,RH,,,,
first_line_arv2,iedea_2020_site_survey_english,"16.2  For each of the following medications, please indicate whether they were <u> dispensed/available at this health facility</u> during 2019.",radio,16.2a First-line HIV antiretroviral medications (ARVs),"1, Yes | 0, No",,,,,,[pharmacy]=1,y,,,pharmacy1,,
second_line_arv2,iedea_2020_site_survey_english,,radio,16.2b Second-line HIV ARVs,"1, Yes | 0, No",,,,,,[pharmacy]=1,y,,,pharmacy1,,
third_line_arv2,iedea_2020_site_survey_english,,radio,16.2c Third-line HIV ARVs,"1, Yes | 0, No",,,,,,[pharmacy]=1,y,,,pharmacy1,,
isoniazid2,iedea_2020_site_survey_english,,radio,16.2d Isoniazid,"1, Yes | 0, No",,,,,,[pharmacy]=1,y,,,pharmacy1,,
rifapentine2,iedea_2020_site_survey_english,,radio,16.2e Rifapentine,"1, Yes | 0, No",,,,,,[pharmacy]=1,y,,,pharmacy1,,
other_tb_meds2,iedea_2020_site_survey_english,,radio,16.2f TB medications other than isoniazid and rifapentine,"1, Yes | 0, No",,,,,,[pharmacy]=1,y,,,pharmacy1,,
cotrimoxazole2,iedea_2020_site_survey_english,,radio,"16.2g Cotrimoxazole (Bactrim, Septra, TMP-SMX)","1, Yes | 0, No",,,,,,[pharmacy]=1,y,,,pharmacy1b,,
malaria_tx2,iedea_2020_site_survey_english,,radio,16.2h Malaria treatment,"1, Yes | 0, No",,,,,,[pharmacy]=1,y,,,pharmacy1b,,
fluconazole2,iedea_2020_site_survey_english,,radio,16.2i Fluconazole,"1, Yes | 0, No",,,,,,[pharmacy]=1,y,,,pharmacy1b,,
amphotercin2,iedea_2020_site_survey_english,,radio,16.2j Amphotercin B,"1, Yes | 0, No",,,,,,[pharmacy]=1,y,,,pharmacy1b,,
flucytosine2,iedea_2020_site_survey_english,,radio,16.2k Flucytosine,"1, Yes | 0, No",,,,,,[pharmacy]=1,y,,,pharmacy1b,,
contraceptives_short2,iedea_2020_site_survey_english,,radio,"16.2l Short-acting contraceptives (pills, injectables, condoms)","1, Yes | 0, No",,,,,,[pharmacy]=1,y,,,pharmacy1b,,
contraceptives_long2,iedea_2020_site_survey_english,,radio,"16.2m Long-acting reversible contraceptives (implants, intrauterine devices)","1, Yes | 0, No",,,,,,[pharmacy]=1,y,,,pharmacy1b,,
ssris2,iedea_2020_site_survey_english,,radio,"16.2n Selective serotonin reuptake inhibitors (SSRIs: e.g., Prozac, Zoloft, Paxil)","1, Yes | 0, No",,,,,,[pharmacy]=1,y,,,pharmacy1c,,
snris2,iedea_2020_site_survey_english,,radio,"16.2o Serotonin and norepinephrine reuptake inhibitors (SNRIs:e.g., Cymbalta, Effexor, Fetzima)","1, Yes | 0, No",,,,,,[pharmacy]=1,y,,,pharmacy1c,,
antidepressants2,iedea_2020_site_survey_english,,radio,"16.2p Tricyclic Antidepressanta (e.g., amitriptyline, amoxapine, doxepin)","1, Yes | 0, No",,,,,,[pharmacy]=1,y,,,pharmacy1c,,
benzodiazepines2,iedea_2020_site_survey_english,,radio,"16.2q Benzodiazepines (e.g., Xanax, Lorazepan, Klonopin)","1, Yes | 0, No",,,,,,[pharmacy]=1,y,,,pharmacy1c,,
antipsychotics2,iedea_2020_site_survey_english,,radio,"16.2r Antipsychotic medications (e.g., Haloperidol, Chlorpromazine, Fluphenazine, Risperidone, Seroquel, Abilify)","1, Yes | 0, No",,,,,,[pharmacy]=1,y,,,pharmacy1c,,
mood_stab2,iedea_2020_site_survey_english,,radio,"16.2s Mood stabilizers (e.g., Carbamazepine, Lithium, Valproate, Lamotrigine)","1, Yes | 0, No",,,,,,[pharmacy]=1,y,,,pharmacy1c,,
alc_meds2,iedea_2020_site_survey_english,,radio,"16.2t Alcohol dependence medications (Disulfiram, Naltrexone, Acamprosate)","1, Yes | 0, No",,,,,,[pharmacy]=1,y,,,pharmacy1c,,
desc_16_2,iedea_2020_site_survey_english,,descriptive," <div style=""border: 1px solid #19B5FE;background: #A2C0D9  ; font-size:13px; color: #000000; text-align:left;padding:10px;"">Please indicate whether there were any supply disruptions/stock-outs lasting at least one week during 2019 at this health facility for each of the following medications</div>",,,,,,,"[first_line_arv2]=1 OR [second_line_arv2]=1 OR [third_line_arv2]=1 OR [isoniazid2]=1 OR [rifapentine2]=1 OR
[other_tb_meds2] =1 OR [cotrimoxazole2]=1 OR [malaria_tx2]=1 OR [contraceptives_short2]=1 OR 
[contraceptives_long2]=1 OR [fluconazole2]=1 OR [amphotercin2]=1 OR [flucytosine2]=1 OR [ssris2]=1 OR
[snris2]=1 OR [antidepressants2]=1 OR [benzodiazepines2]=1 OR [antipsychotics2]=1 OR [mood_stab2]=1 OR
[alc_meds2]=1",,,,,,
first_line_arv_out2,iedea_2020_site_survey_english,,radio,16.2a1 First-line HIV ARVs,"1, Yes | 0, No",,,,,,[first_line_arv2] = '1',y,,,pharmacy2,,
second_line_arv_out2,iedea_2020_site_survey_english,,radio,16.2b1 Second-line HIV ARVs,"1, Yes | 0, No",,,,,,[second_line_arv2] = '1',y,,,pharmacy2,,
third_line_arv_out2,iedea_2020_site_survey_english,,radio,16.2c1 Third-line HIV ARVs,"1, Yes | 0, No",,,,,,[third_line_arv2]=1,y,,,pharmacy2,,
isoniazid_out2,iedea_2020_site_survey_english,,radio,16.2d1 Isoniazid,"1, Yes | 0, No",,,,,,[isoniazid2]=1,y,,,pharmacy2,,
rifapentine_out2,iedea_2020_site_survey_english,,radio,16.2e1 Rifapentine,"1, Yes | 0, No",,,,,,[rifapentine2]=1,y,,,pharmacy2,,
other_tb_out2,iedea_2020_site_survey_english,,radio,16.2f1 TB medications other than isoniazid and rifapentine,"1, Yes | 0, No",,,,,,[other_tb_meds2]=1,y,,,pharmacy2,,
cotrimoxazole_out2,iedea_2020_site_survey_english,,radio,16.2g1 Cotrimoxazole,"1, Yes | 0, No",,,,,,[cotrimoxazole2]=1,y,,,pharmacy2b,,
malaria_out2,iedea_2020_site_survey_english,,radio,16.2h1 Malaria treatment,"1, Yes | 0, No",,,,,,[malaria_tx2]=1,y,,,pharmacy2b,,
fluconazole_out2,iedea_2020_site_survey_english,,radio,16.2i1 Fluconazole,"1, Yes | 0, No",,,,,,[fluconazole2]='1',y,,,pharmacy2b,,
amphotercin_out2,iedea_2020_site_survey_english,,radio,16.2j1 Amphotercin B,"1, Yes | 0, No",,,,,,[amphotercin2]=1,y,,,pharmacy2b,,
flucytosine_out2,iedea_2020_site_survey_english,,radio,16.2k1 Flucytosine,"1, Yes | 0, No",,,,,,[flucytosine2]=1,y,,,pharmacy2b,,
contraceptive_short_out2,iedea_2020_site_survey_english,,radio,"16.2l1 Short-acting contraceptives (pills, injectables, condoms)","1, Yes | 0, No",,,,,,[contraceptives_short2]=1,y,,,pharmacy2b,,
contraceptives_long_out2,iedea_2020_site_survey_english,,radio,"16.2m1 Long-acting reversible contraceptives (implants, intrauterine devices)","1, Yes | 0, No",,,,,,[contraceptives_long2]=1,y,,,pharmacy2b,,
ssris_out2,iedea_2020_site_survey_english,,radio,"16.2n1 Selective serotonin reuptake inhibitors (SSRIs: e.g., Prozac, Zoloft, Paxil)","1, Yes | 0, No",,,,,,[ssris2]=1,y,,,pharmacy2c,,
snris_out2,iedea_2020_site_survey_english,,radio,"16.2o1 Serotonin and norepinephrine reuptake inhibitors (SNRIs: e.g., Cymbalta, Effexor, Fetzima)","1, Yes | 0, No",,,,,,[snris2]=1,y,,,pharmacy2c,,
antidepressants_out2,iedea_2020_site_survey_english,,radio,"16.2p1 Tricyclic Antidepressants (e.g., amitriptyline, amoxapine, doxepin)","1, Yes | 0, No",,,,,,[antidepressants2]=1,y,,,pharmacy2c,,
benzodiazepines_out2,iedea_2020_site_survey_english,,radio,"16.2q1 Benzodiazepines (e.g., Xanax, Lorazepam, Klonopin)","1, Yes | 0, No",,,,,,[benzodiazepines2]=1,y,,,pharmacy2c,,
antipsychotics_out2,iedea_2020_site_survey_english,,radio,"16.2r1 Antipsychotic medications (e.g., Haloperidol, Chlorpromazine, Fluphenazine, Risperidone, Seroquel, Abilify)","1, Yes | 0, No",,,,,,[antipsychotics2]=1,y,,,pharmacy2c,,
mood_stab_out2,iedea_2020_site_survey_english,,radio,"16.2s1 Mood stabilizers (e.g., Carbamazepine, Lithium, Valproate, Lamotrigine)","1, Yes | 0, No",,,,,,[mood_stab2]=1,y,,,pharmacy2c,,
alc_meds_out2,iedea_2020_site_survey_english,,radio,"16.2t1 Alcohol dependence medications (Disulfiram, Naltrexone, Acamprosate)","1, Yes | 0, No",,,,,,[alc_meds2]=1,y,,,pharmacy2c,,
wait_list,iedea_2020_site_survey_english,,radio,"16.3 In 2019, did this HIV clinic have patients on a <u>waiting list to receive ART</u>? 
","1, Yes | 2, No | 3, Don't Know",,,,,,[pharmacy]='1',y,,,,,
track_ltfu,iedea_2020_site_survey_english,"<div style=""border: 1px solid #19B5FE;background: #4682B4; font-size:18px; color: #000000; text-align:center;padding:10px;"">17. MEDICAL RECORDS AND PATIENT TRACKING
<i>Describe practices prior to COVID-19</i></div>",yesno,"17.1 In 2019, did your clinic  track the outcomes of patients who were lost to follow-up (e.g. outcomes such as patient deaths, transfers to other facilities, ART status, etc.)? 
",,,,,,,[pharmacy]='1' OR [pharmacy]='0' OR [pharmacy]='',y,RH,,,,
track_ltfu_edms,iedea_2020_site_survey_english,,yesno,"17.2 Were the outcomes of tracked patients recorded in electronic databases?

",,,,,,,[track_ltfu] = '1',y,RH,,,,
track_ltfu_info2,iedea_2020_site_survey_english,,checkbox,"17.3 After tracking patients lost to follow-up at this HIV clinic, what information was recorded in electronic databases?
 

<i>Check all that apply.</i>","1, Transfers to other facilities | 1b, Loss to follow-up | 5, Deaths | 88, Other",,,,,,[track_ltfu_edms] = '1',y,,,,,
other_specify222,iedea_2020_site_survey_english,,text,"17.3a. If Other, please specify",,,,,,,[track_ltfu_info2(88)] = '1',y,,,,,
covid_emergency,iedea_2020_site_survey_english,"<div style=""border: 1px solid #19B5FE;background: #4682B4; font-size:18px; color: #000000; text-align:center;padding:10px;"">18. COVID-19 RESPONSE & IMPACT ON HIV CARE AND TREATMENT
<i>Describe how COVID-19 has affected HIV service delivery at this clinic.</i></div>",yesno,"18.1 Was the geographic location surrounding this HIV clinic subject to any form of COVID-19 restrictions on travel, service provision, or business operations? 
",,,,,,,,y,RH,,,,
covid_emergency_dt,iedea_2020_site_survey_english,,dropdown,"18.1a. When were COVID-19-related restrictions issued for the geographic location surrounding this HIV clinic?  

<i>Please provide month when COVID-19 related restrictions were first issued. If month is not known, select ""Do not Know""</i>","1, January | 2, February | 3, March | 4, April | 5, May | 6, June | 7, July | 8, August | 9, September | 10, October | 11, November | 12, December | 99, Do not Know",,,,,,[covid_emergency] = '1',,,,,,
covid_emergency_dt_lift,iedea_2020_site_survey_english,,dropdown,"18.1b. When were COVID-19-related restrictions first lifted or eased? 


<i>Please provide month.  If unknown, select ""Do not Know""
If restrictions remain in place, select ""NA- not applicable""</i>","1, January | 2, February | 3, March | 4, April | 5, May | 6, June | 7, July | 8, August | 9, September | 10, October | 11, November | 12, December | 99, Do not Know | 77, NA (not applicable)",,,,,,[covid_emergency] = '1',,RH,,,,
suspend_hivservices,iedea_2020_site_survey_english,,yesno,18.2 Did this HIV clinic suspend HIV service provision in response to COVID-19? ,,,,,,,,y,RH,,,,
suspend_hivservices_dt,iedea_2020_site_survey_english,,dropdown,"18.2a. When were HIV-related services suspended at this hospital/clinic?

<i>Please provide month when HIV-related services were suspended.  If month is not known, select ""Do not Know""</i>","1, January | 2, February | 3, March | 4, April | 5, May | 6, June | 7, July | 8, August | 9, September | 10, October | 11, November | 12, December | 99, Do not Know",,,,,,[suspend_hivservices] = '1',,RH,,,,
suspend_hivservices_dt_res,iedea_2020_site_survey_english,,dropdown,"18.2b. When were HIV-related services first resumed at this hospital/clinic?

<i>Please provide month.  If unknown, select ""Do not Know""
If restrictions remain in place, select ""NA- not applicable""</i>","1, January | 2, February | 3, March | 4, April | 5, May | 6, June | 7, July | 8, August | 9, September | 10, October | 11, November | 12, December | 99, Do not Know | 77, NA (not applicable)",,,,,,[suspend_hivservices] = '1',,RH,,,,
desc_18_3,iedea_2020_site_survey_english,,descriptive,"18.3 At any time since the start of the pandemic, has the COVID-19 response resulted in any of the following changes in the <u>operations of the HIV clinic</u>, and are any of these changes currently in effect?  
<div style=""font-size:12.5px"">
<i>Please indicate whether the following changes are <u>currently, previously, or were never</u> in effect at this HIV clinic.</div>",,,,,,,,,,,,,
susp_enrolment2,iedea_2020_site_survey_english,,radio,"18.3a.	Suspension or postponement of the enrollment of new patients in HIV care","2, Currently | 1, Previously | 0, Never",,,,,,,y,,,covid192,,
